«‡ ∑π¿Ã∫Ì,∆Ú±’ : income
1800,946.2885572
africa,626.8333333
americas,1023.9
asia,853.1833333
europe,1366.12766
1801,946.6616915
africa,627.3518519
americas,1025.525
asia,853.7166667
europe,1365.06383
1802,949.4527363
africa,627.9259259
americas,1026.975
asia,854.3666667
europe,1374.276596
1803,949.1940299
africa,628.462963
americas,1026.7
asia,854.8833333
europe,1372.12766
1804,950.7512438
africa,629.0555556
americas,1027.275
asia,855.45
europe,1376.893617
1805,951.1840796
africa,629.7407407
americas,1029.025
asia,855.9833333
europe,1375.787234
1806,952.3283582
africa,630.3518519
americas,1030.65
asia,856.5666667
europe,1377.851064
1807,951.9800995
africa,631
americas,1031.875
asia,857.0333333
europe,1373.978723
1808,949.0845771
africa,631.5555556
americas,1028.55
asia,857.6666667
europe,1362.978723
1809,950.1442786
africa,632.1481481
americas,1031.7
asia,858.2
europe,1363.468085
1810,954.0696517
africa,632.7037037
americas,1034
asia,858.7833333
europe,1376.914894
1811,954.9004975
africa,633.3333333
americas,1035.675
asia,859.2833333
europe,1377.680851
1812,951.721393
africa,633.9814815
americas,1035.325
asia,859.9333333
europe,1362.808511
1813,951.9104478
africa,634.5185185
americas,1036.7
asia,860.45
europe,1361.170213
1814,951.8905473
africa,635.1851852
americas,1038.45
asia,861
europe,1358.12766
1815,958.5721393
africa,635.7777778
americas,1038.9
asia,861.6
europe,1384.87234
1816,956.60199
africa,636.3148148
americas,1037.175
asia,862.1833333
europe,1376.553191
1817,957.4527363
africa,636.9814815
americas,1037.825
asia,862.8
europe,1378.085106
1818,959.199005
africa,637.6481481
americas,1038.65
asia,863.2833333
europe,1383.468085
1819,958.3383085
africa,638.2222222
americas,1039.225
asia,863.85
europe,1377.914894
1820,963.3564356
africa,638.7962963
americas,1039.55
asia,864.4166667
europe,1388.666667
1821,969.8217822
africa,646.037037
americas,1046.35
asia,866.7333333
europe,1399.166667
1822,973.980198
africa,646.1481481
americas,1055.325
asia,869.1
europe,1406.104167
1823,979.6633663
africa,648.7222222
americas,1061.85
asia,871.5833333
europe,1418.583333
1824,985.8663366
africa,651.2777778
americas,1070.15
asia,874.5833333
europe,1431.145833
1825,990.9455446
africa,653.9074074
americas,1079.525
asia,877.4333333
europe,1438.1875
1826,995.6683168
africa,656.4259259
americas,1087.575
asia,879.7666667
europe,1445.604167
1827,1002.648515
africa,658.9814815
americas,1095.575
asia,882.4166667
europe,1462.125
1828,1007.316832
africa,661.5185185
americas,1103.125
asia,884.9166667
europe,1469.5
1829,1012.386139
africa,664.037037
americas,1108.975
asia,888.05
europe,1479.208333
1830,1017.084158
africa,664.8703704
americas,1120.7
asia,894.2833333
europe,1480.479167
1831,1023.970297
africa,665.8888889
americas,1132.75
asia,897.1333333
europe,1494.708333
1832,1031.90099
africa,668.0925926
americas,1143.825
asia,899.8166667
europe,1513.020833
1833,1037.757426
africa,670.3333333
americas,1154.575
asia,902.0833333
europe,1523.354167
1834,1043.965347
africa,672.6111111
americas,1160.075
asia,905.4833333
europe,1538.083333
1835,1052.90099
africa,674.8888889
americas,1171.825
asia,913.1166667
europe,1553.791667
1836,1058.351485
africa,677.2037037
americas,1181.375
asia,914.7
europe,1564.1875
1837,1063.772277
africa,679.5185185
americas,1188.5
asia,918.4333333
europe,1573.791667
1838,1069.905941
africa,681.9074074
americas,1196.85
asia,920.2166667
europe,1587.729167
1839,1074.678218
africa,684.2037037
americas,1209.25
asia,920.25
europe,1594.854167
1840,1085.084158
africa,686.5925926
americas,1216.1
asia,930.3166667
europe,1617.666667
1841,1088.519802
africa,688.4814815
americas,1223.95
asia,928.9666667
europe,1625.145833
1842,1091.90099
africa,690.4259259
americas,1232.95
asia,929.7
europe,1628.770833
1843,1099.955446
africa,692.5
americas,1243.925
asia,937.5333333
europe,1641.395833
1844,1110.792079
africa,694.1296296
americas,1257.225
asia,945.65
europe,1663.9375
1845,1117.5
africa,695.8333333
americas,1268.55
asia,951.05
europe,1674.0625
1846,1123.960396
africa,697.5740741
americas,1279.35
asia,959.6333333
europe,1679.5625
1847,1134.133663
africa,699.4814815
americas,1291.475
asia,971.2666667
europe,1695.583333
1848,1140.965347
africa,702.9074074
americas,1304.4
asia,983.55
europe,1694.354167
1849,1149.534653
africa,706.4259259
americas,1314.425
asia,987.9166667
europe,1712.645833
1850,1159.544554
africa,710.0185185
americas,1326.225
asia,989.9833333
europe,1738.3125
1851,1173.747525
africa,717.2222222
americas,1342.2
asia,1005.033333
europe,1757.854167
1852,1188.886139
africa,721.2777778
americas,1356.525
asia,1022.016667
europe,1783.833333
1853,1199.262376
africa,726.3703704
americas,1369.55
asia,1034.433333
europe,1795.395833
1854,1204.435644
africa,728.2407407
americas,1380.125
asia,1029.333333
europe,1812.625
1855,1214.861386
africa,733.3148148
americas,1390.375
asia,1031.183333
europe,1839.9375
1856,1227.717822
africa,729.5925926
americas,1404.15
asia,1052.9
europe,1859.604167
1857,1234.70297
africa,737.4259259
americas,1416.075
asia,1048.883333
europe,1875.270833
1858,1241.579208
africa,736.2962963
americas,1430.9
asia,1044.866667
europe,1898.145833
1859,1254.306931
africa,740.0740741
americas,1445.175
asia,1069.6
europe,1904.645833
1860,1262.688119
africa,744.1296296
americas,1460.7
asia,1074.883333
europe,1915.8125
1861,1267.836634
africa,745.2037037
americas,1470.125
asia,1079.2
europe,1923.020833
1862,1275.242574
africa,740.7222222
americas,1482.925
asia,1081.916667
europe,1945.166667
1863,1290.094059
africa,745.0555556
americas,1503.05
asia,1087.266667
europe,1979.333333
1864,1302.975248
africa,756.8148148
americas,1521.025
asia,1097.45
europe,1992.604167
1865,1309.019802
africa,751.7407407
americas,1531.85
asia,1098.666667
europe,2013.208333
1866,1319.242574
africa,755.6481481
americas,1545.575
asia,1106.916667
europe,2030.083333
1867,1326.064356
africa,763.4259259
americas,1562.625
asia,1120.1
europe,2019.354167
1868,1341.247525
africa,767.037037
americas,1578.675
asia,1127.7
europe,2056.3125
1869,1355.40099
africa,770.1481481
americas,1598.65
asia,1131.75
europe,2090.666667
1870,1366.693069
africa,775.4444444
americas,1606.65
asia,1142.9
europe,2111.625
1871,1380.608911
africa,779.1111111
americas,1621.225
asia,1149.65
europe,2145.479167
1872,1408.811881
africa,797.8518519
americas,1665.125
asia,1171.45
europe,2179.25
1873,1423.945545
africa,794.8148148
americas,1683.45
asia,1193.116667
europe,2204
1874,1433.539604
africa,796.2592593
americas,1670.575
asia,1198.533333
europe,2246.708333
1875,1444.287129
africa,804.3148148
americas,1661.2
asia,1210.783333
europe,2275.375
1876,1451.70297
africa,813.2592593
americas,1670.95
asia,1211.766667
europe,2287.166667
1877,1461.014851
africa,813.9074074
americas,1689.3
asia,1228.216667
europe,2289.770833
1878,1473.267327
africa,816.462963
americas,1702.775
asia,1246.566667
europe,2304.291667
1879,1475.49505
africa,825.3703704
americas,1718.15
asia,1234.266667
europe,2306.208333
1880,1502.391089
africa,837.7962963
americas,1751.1
asia,1249.733333
europe,2358.625
1881,1516.712871
africa,838.8703704
americas,1762.875
asia,1262.716667
europe,2391.645833
1882,1530.287129
africa,840.2407407
americas,1813.925
asia,1255.716667
europe,2413.4375
1883,1548.113861
africa,831.2777778
americas,1851.45
asia,1269.1
europe,2450.541667
1884,1559.356436
africa,831.462963
americas,1868.575
asia,1276.383333
europe,2474.270833
1885,1572.534653
africa,829.3518519
americas,1897.1
asia,1283.25
europe,2499.75
1886,1581.935644
africa,839.8703704
americas,1908.475
asia,1282.433333
europe,2519.020833
1887,1612.524752
africa,850.0185185
americas,1910.05
asia,1316.316667
europe,2592.666667
1888,1629.435644
africa,860.5740741
americas,1963.35
asia,1312.516667
europe,2612.291667
1889,1636.287129
africa,864.3148148
americas,1967.975
asia,1322.533333
europe,2620.541667
1890,1647.638614
africa,869.1111111
americas,1958.25
asia,1329.066667
europe,2662.854167
1891,1649.693069
africa,875.8703704
americas,1975.125
asia,1327.733333
europe,2651.5
1892,1669.920792
africa,878.8518519
americas,2002.625
asia,1330.083333
europe,2707.416667
1893,1691.356436
africa,882.8518519
americas,2023.225
asia,1340.216667
europe,2763.291667
1894,1721.277228
africa,885.4814815
americas,2054.8
asia,1357.783333
europe,2837.979167
1895,1736.915842
africa,898.962963
americas,2098.85
asia,1350.933333
europe,2860.479167
1896,1764.316832
africa,906.2037037
americas,2110.275
asia,1375.433333
europe,2927.5
1897,1769.608911
africa,906.3333333
americas,2089.55
asia,1382.383333
europe,2958.208333
1898,1799.475248
africa,924.7222222
americas,2112.1
asia,1411.383333
europe,3008.166667
1899,1824.915842
africa,919.537037
americas,2162.15
asia,1419.916667
europe,3068.6875
1900,1827.806931
africa,902.1481481
americas,2145.825
asia,1441.45
europe,3087.104167
1901,1848.806931
africa,910.4814815
americas,2199.625
asia,1445.233333
europe,3116.541667
1902,1879.742574
africa,927.2037037
americas,2233.875
asia,1463.866667
europe,3176.083333
1903,1900.658416
africa,956.0925926
americas,2274.75
asia,1480.233333
europe,3177.083333
1904,1928.722772
africa,962.1296296
americas,2297.425
asia,1492.083333
europe,3254.6875
1905,1937.826733
africa,974.1666667
americas,2336.1
asia,1486.266667
europe,3254.5
1906,1973.311881
africa,988.1666667
americas,2400.225
asia,1513.783333
europe,3300.25
1907,1992.247525
africa,992.1851852
americas,2432.075
asia,1520.35
europe,3340.666667
1908,2002.153465
africa,974.5185185
americas,2443.225
asia,1531.3
europe,3379.25
1909,2036.039604
africa,984.6296296
americas,2489.975
asia,1556.433333
europe,3440.104167
1910,2076.767327
africa,990.0555556
americas,2538.1
asia,1601.716667
europe,3508.6875
1911,2084.440594
africa,998.1851852
americas,2538.475
asia,1594.316667
europe,3540.770833
1912,2119.346535
africa,1002.462963
americas,2613.275
asia,1594.133333
europe,3620.75
1913,2142.113861
africa,1008.351852
americas,2615.45
asia,1609.383333
europe,3689.0625
1914,2094.079208
africa,1016.722222
americas,2501.825
asia,1607.883333
