year,continent,income
1800,africa,626.8333333333334
1800,americas,1023.9
1800,asia,853.1833333333333
1800,europe,1366.127659574468
1801,africa,627.3518518518518
1801,americas,1025.525
1801,asia,853.7166666666667
1801,europe,1365.063829787234
1802,africa,627.925925925926
1802,americas,1026.975
1802,asia,854.3666666666667
1802,europe,1374.276595744681
1803,africa,628.4629629629629
1803,americas,1026.7
1803,asia,854.8833333333333
1803,europe,1372.127659574468
1804,africa,629.0555555555555
1804,americas,1027.275
1804,asia,855.45
1804,europe,1376.8936170212767
1805,africa,629.7407407407408
1805,americas,1029.025
1805,asia,855.9833333333333
1805,europe,1375.787234042553
1806,africa,630.3518518518518
1806,americas,1030.65
1806,asia,856.5666666666667
1806,europe,1377.8510638297873
1807,africa,631.0
1807,americas,1031.875
1807,asia,857.0333333333333
1807,europe,1373.9787234042553
1808,africa,631.5555555555555
1808,americas,1028.55
1808,asia,857.6666666666666
1808,europe,1362.9787234042553
1809,africa,632.1481481481482
1809,americas,1031.7
1809,asia,858.2
1809,europe,1363.468085106383
1810,africa,632.7037037037037
1810,americas,1034.0
1810,asia,858.7833333333333
1810,europe,1376.9148936170213
1811,africa,633.3333333333334
1811,americas,1035.675
1811,asia,859.2833333333333
1811,europe,1377.6808510638298
1812,africa,633.9814814814815
1812,americas,1035.325
1812,asia,859.9333333333333
1812,europe,1362.8085106382978
1813,africa,634.5185185185185
1813,americas,1036.7
1813,asia,860.45
1813,europe,1361.1702127659576
1814,africa,635.1851851851852
1814,americas,1038.45
1814,asia,861.0
1814,europe,1358.127659574468
1815,africa,635.7777777777778
1815,americas,1038.9
1815,asia,861.6
1815,europe,1384.872340425532
1816,africa,636.3148148148148
1816,americas,1037.175
1816,asia,862.1833333333333
1816,europe,1376.5531914893618
1817,africa,636.9814814814815
1817,americas,1037.825
1817,asia,862.8
1817,europe,1378.0851063829787
1818,africa,637.6481481481482
1818,americas,1038.65
1818,asia,863.2833333333333
1818,europe,1383.468085106383
1819,africa,638.2222222222222
1819,americas,1039.225
1819,asia,863.85
1819,europe,1377.9148936170213
1820,africa,638.7962962962963
1820,americas,1039.55
1820,asia,864.4166666666666
1820,europe,1388.6666666666667
1821,africa,646.0370370370371
1821,americas,1046.35
1821,asia,866.7333333333333
1821,europe,1399.1666666666667
1822,africa,646.1481481481482
1822,americas,1055.325
1822,asia,869.1
1822,europe,1406.1041666666667
1823,africa,648.7222222222222
1823,americas,1061.85
1823,asia,871.5833333333334
1823,europe,1418.5833333333333
1824,africa,651.2777777777778
1824,americas,1070.15
1824,asia,874.5833333333334
1824,europe,1431.1458333333333
1825,africa,653.9074074074074
1825,americas,1079.525
1825,asia,877.4333333333333
1825,europe,1438.1875
1826,africa,656.425925925926
1826,americas,1087.575
1826,asia,879.7666666666667
1826,europe,1445.6041666666667
1827,africa,658.9814814814815
1827,americas,1095.575
1827,asia,882.4166666666666
1827,europe,1462.125
